MINISTERIO DE DEFENSA NACIONAL;;;;;;;
POLICÍA NACIONAL;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL;;;;;;;
GRUPO DE INFORMACIÓN DE CRIMINALIDAD;;;;;;;
VIOLENCIA INTRAFAMILIAR ;;;;;;;
PERÍODO DEL 01 DE ENERO AL 28 DE FEBRERO DEL 2023;;;;;;;
ARMAS_MEDIOS;DEPARTAMENTO ;MUNICIPIO ;FECHA ;GENERO;*AGRUPA_EDAD_PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);28/01/2023;FEMENINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);07/02/2023;FEMENINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ABRIAQUÍ;01/01/2023;MASCULINO;ADULTOS;05004000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANGELÓPOLIS;25/02/2023;FEMENINO;ADULTOS;05036000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANGOSTURA;22/01/2023;FEMENINO;ADULTOS;05038000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANORÍ;09/02/2023;FEMENINO;ADULTOS;05040000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;07/01/2023;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;12/01/2023;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;12/02/2023;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;23/02/2023;FEMENINO;ADULTOS;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;22/01/2023;FEMENINO;ADULTOS;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CISNEROS;01/01/2023;FEMENINO;ADULTOS;05190000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;DON MATÍAS;31/01/2023;FEMENINO;ADULTOS;05237000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL BAGRE;10/02/2023;FEMENINO;ADULTOS;05250000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;FREDONIA;30/01/2023;FEMENINO;ADULTOS;05282000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;10/01/2023;FEMENINO;ADULTOS;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;28/02/2023;FEMENINO;ADULTOS;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA UNIÓN;02/01/2023;FEMENINO;ADULTOS;05400000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MARINILLA;06/02/2023;MASCULINO;ADULTOS;05440000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);10/01/2023;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);16/01/2023;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);22/01/2023;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);10/02/2023;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);13/02/2023;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);28/02/2023;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;PUEBLORRICO;09/01/2023;FEMENINO;ADULTOS;05576000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;RIONEGRO;26/01/2023;FEMENINO;ADULTOS;05615000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;SAN PEDRO;04/01/2023;MASCULINO;ADULTOS;05664000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;TÁMESIS;04/02/2023;FEMENINO;ADULTOS;05789000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;URRAO;22/01/2023;FEMENINO;ADULTOS;05847000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;URRAO;24/01/2023;FEMENINO;ADULTOS;05847000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;URRAO;21/02/2023;FEMENINO;ADULTOS;05847000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;YONDÓ;16/01/2023;MASCULINO;ADULTOS;05893000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ZARAGOZA;06/01/2023;FEMENINO;ADULTOS;05895000;1
ARMA BLANCA / CORTOPUNZANTE;ARAUCA;ARAUCA (CT);06/02/2023;MASCULINO;ADULTOS;81001000;1
ARMA BLANCA / CORTOPUNZANTE;ATLÁNTICO;BARRANQUILLA (CT);22/01/2023;MASCULINO;ADULTOS;08001000;1
ARMA BLANCA / CORTOPUNZANTE;ATLÁNTICO;BARRANQUILLA (CT);23/01/2023;FEMENINO;ADULTOS;08001000;1
ARMA BLANCA / CORTOPUNZANTE;ATLÁNTICO;BARRANQUILLA (CT);25/01/2023;MASCULINO;MENORES;08001000;1
ARMA BLANCA / CORTOPUNZANTE;ATLÁNTICO;BARRANQUILLA (CT);27/01/2023;MASCULINO;ADULTOS;08001000;1
ARMA BLANCA / CORTOPUNZANTE;ATLÁNTICO;BARRANQUILLA (CT);29/01/2023;MASCULINO;ADULTOS;08001000;1
ARMA BLANCA / CORTOPUNZANTE;ATLÁNTICO;PUERTO COLOMBIA;09/01/2023;MASCULINO;ADULTOS;08573000;1
ARMA BLANCA / CORTOPUNZANTE;ATLÁNTICO;SOLEDAD;09/01/2023;MASCULINO;ADULTOS;08758000;1
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;CARTAGENA (CT);02/01/2023;FEMENINO;ADULTOS;13001000;1
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;CARTAGENA (CT);05/01/2023;FEMENINO;ADULTOS;13001000;2
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;CARTAGENA (CT);20/01/2023;FEMENINO;ADULTOS;13001000;1
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;TURBACO;01/01/2023;FEMENINO;ADULTOS;13836000;2
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;DUITAMA;12/02/2023;MASCULINO;ADULTOS;15238000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;DUITAMA;23/02/2023;MASCULINO;ADULTOS;15238000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;PUERTO BOYACÁ;20/01/2023;FEMENINO;ADULTOS;15572000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;SAN JOSÉ DE PARE;15/02/2023;MASCULINO;ADULTOS;15664000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;SOGAMOSO;12/02/2023;FEMENINO;ADULTOS;15759000;3
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;TOGÜÍ;01/01/2023;MASCULINO;ADULTOS;15816000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;TUNJA (CT);02/01/2023;FEMENINO;ADULTOS;15001000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;TUNJA (CT);29/01/2023;FEMENINO;ADULTOS;15001000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;VILLA DE LEYVA;03/02/2023;MASCULINO;ADULTOS;15407000;1
ARMA BLANCA / CORTOPUNZANTE;CALDAS;AGUADAS;28/02/2023;FEMENINO;ADULTOS;17013000;1
ARMA BLANCA / CORTOPUNZANTE;CALDAS;CHINCHINÁ;21/01/2023;FEMENINO;ADULTOS;17174000;1
ARMA BLANCA / CORTOPUNZANTE;CALDAS;LA DORADA;27/02/2023;FEMENINO;ADULTOS;17380000;1
ARMA BLANCA / CORTOPUNZANTE;CALDAS;MANIZALES (CT);17/01/2023;MASCULINO;ADULTOS;17001000;1
ARMA BLANCA / CORTOPUNZANTE;CALDAS;PENSILVANIA;08/02/2023;FEMENINO;ADULTOS;17541000;1
